prfInformationCarrier,prfYear,prfMonth,prfPrdOilGrossMillSm3,prfPrdGasGrossBillSm3,prfPrdCondensateGrossMillSm3,prfPrdOeGrossMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
33/9-6 DELTA,2009,7,0.00070,0.00011,0.00000,0.00081,0.00051,44576
33/9-6 DELTA,2009,8,0.00292,0.00047,0.00000,0.00339,0.00063,44576
33/9-6 DELTA,2009,9,0.00338,0.00054,0.00000,0.00392,0.00316,44576
33/9-6 DELTA,2009,10,0.00312,0.00050,0.00000,0.00362,0.00535,44576
33/9-6 DELTA,2009,11,0.00000,0.00000,0.00000,0.00000,0.00000,44576
33/9-6 DELTA,2009,12,0.00062,0.00010,0.00000,0.00072,0.00096,44576
33/9-6 DELTA,2010,1,0.00048,0.00008,0.00000,0.00055,0.00079,44576
33/9-6 DELTA,2010,2,0.00270,0.00043,0.00000,0.00313,0.00451,44576
33/9-6 DELTA,2010,3,0.00327,0.00052,0.00000,0.00379,0.00682,44576
33/9-6 DELTA,2010,4,0.00238,0.00038,0.00000,0.00276,0.00918,44576
33/9-6 DELTA,2010,5,0.00313,0.00050,0.00000,0.00363,0.00698,44576
33/9-6 DELTA,2010,6,0.00193,0.00031,0.00000,0.00224,0.00267,44576
33/9-6 DELTA,2010,7,0.00287,0.00046,0.00000,0.00333,0.00362,44576
33/9-6 DELTA,2010,8,0.00237,0.00038,0.00000,0.00275,0.00307,44576
33/9-6 DELTA,2010,9,0.00000,0.00000,0.00000,0.00000,0.00000,44576
33/9-6 DELTA,2010,10,0.00000,0.00000,0.00000,0.00000,0.00000,44576
33/9-6 DELTA,2010,11,0.00000,0.00000,0.00000,0.00000,0.00000,44576
33/9-6 DELTA,2010,12,0.00045,0.00007,0.00000,0.00052,0.00075,44576
33/9-6 DELTA,2011,1,0.00000,0.00000,0.00000,0.00000,0.00000,44576
33/9-6 DELTA,2011,2,0.00115,0.00018,0.00000,0.00134,0.00139,44576
33/9-6 DELTA,2011,3,0.00122,0.00020,0.00000,0.00141,0.00141,44576
33/9-6 DELTA,2011,4,0.00240,0.00038,0.00000,0.00278,0.00295,44576
33/9-6 DELTA,2011,5,0.00251,0.00040,0.00000,0.00291,0.00079,44576
33/9-6 DELTA,2011,6,0.00149,0.00024,0.00000,0.00172,0.00009,44576
33/9-6 DELTA,2011,7,0.00181,0.00029,0.00000,0.00210,0.00011,44576
33/9-6 DELTA,2011,8,0.00259,0.00041,0.00000,0.00300,0.00015,44576
33/9-6 DELTA,2011,9,0.00216,0.00035,0.00000,0.00251,0.00012,44576
33/9-6 DELTA,2011,10,0.00065,0.00011,0.00000,0.00076,0.00004,44576
33/9-6 DELTA,2011,11,0.00199,0.00032,0.00000,0.00231,0.00018,44576
33/9-6 DELTA,2011,12,0.00154,0.00025,0.00000,0.00179,0.00014,44576
33/9-6 DELTA,2012,1,0.00173,0.00028,0.00000,0.00200,0.00048,44576
33/9-6 DELTA,2012,2,0.00061,0.00010,0.00000,0.00071,0.00039,44576
33/9-6 DELTA,2012,3,0.00128,0.00021,0.00000,0.00148,0.00081,44576
33/9-6 DELTA,2012,4,0.00000,0.00000,0.00000,0.00000,0.00000,44576
33/9-6 DELTA,2012,5,0.00035,0.00006,0.00000,0.00040,0.00023,44576
33/9-6 DELTA,2012,6,0.00142,0.00023,0.00000,0.00165,0.00025,44576
33/9-6 DELTA,2012,7,0.00251,0.00040,0.00000,0.00292,0.00048,44576
33/9-6 DELTA,2012,8,0.00147,0.00024,0.00000,0.00170,0.00026,44576
33/9-6 DELTA,2012,9,0.00009,0.00001,0.00000,0.00010,0.00002,44576
33/9-6 DELTA,2012,10,0.00230,0.00037,0.00000,0.00267,0.00040,44576
33/9-6 DELTA,2012,11,0.00168,0.00027,0.00000,0.00195,0.00035,44576
33/9-6 DELTA,2012,12,0.00095,0.00015,0.00000,0.00110,0.00021,44576
33/9-6 DELTA,2013,1,0.00047,0.00007,0.00000,0.00054,0.00010,44576
33/9-6 DELTA,2013,2,0.00000,0.00000,0.00000,0.00000,0.00000,44576
33/9-6 DELTA,2013,3,0.00080,0.00013,0.00000,0.00093,0.00017,44576
33/9-6 DELTA,2013,4,0.00070,0.00011,0.00000,0.00081,0.00016,44576
33/9-6 DELTA,2013,5,0.00032,0.00005,0.00000,0.00037,0.00009,44576
33/9-6 DELTA,2013,6,0.00045,0.00007,0.00000,0.00052,0.00010,44576
33/9-6 DELTA,2013,7,0.00032,0.00005,0.00000,0.00038,0.00008,44576
33/9-6 DELTA,2013,8,0.00040,0.00006,0.00000,0.00047,0.00000,44576
33/9-6 DELTA,2013,9,0.00086,0.00014,0.00000,0.00100,0.00000,44576
33/9-6 DELTA,2013,10,0.00002,0.00000,0.00000,0.00002,0.00000,44576
33/9-6 DELTA,2013,11,0.00000,0.00000,0.00000,0.00000,0.00000,44576
33/9-6 DELTA,2013,12,0.00092,0.00015,0.00000,0.00106,0.00000,44576
33/9-6 DELTA,2014,1,0.00089,0.00014,0.00000,0.00103,0.00001,44576
33/9-6 DELTA,2014,2,0.00005,0.00001,0.00000,0.00006,0.00000,44576
ALBUSKJELL,1979,5,0.00504,0.00853,0.00000,0.01356,0.00000,43437
ALBUSKJELL,1979,6,0.01320,0.02365,0.00000,0.03685,0.00000,43437
ALBUSKJELL,1979,7,0.04049,0.06082,0.00000,0.10131,0.00000,43437
ALBUSKJELL,1979,8,0.10943,0.13822,0.00000,0.24765,0.00000,43437
ALBUSKJELL,1979,9,0.12278,0.14866,0.00000,0.27144,0.00000,43437
ALBUSKJELL,1979,10,0.07993,0.09196,0.00000,0.17189,0.00000,43437
ALBUSKJELL,1979,11,0.12738,0.13640,0.00000,0.26378,0.00000,43437
ALBUSKJELL,1979,12,0.10452,0.11752,0.00000,0.22204,0.00000,43437
ALBUSKJELL,1980,1,0.13938,0.15645,0.00000,0.29583,0.00000,43437
ALBUSKJELL,1980,2,0.14892,0.16868,0.00000,0.31760,0.00000,43437
ALBUSKJELL,1980,3,0.15087,0.16965,0.00000,0.32052,0.00000,43437
ALBUSKJELL,1980,4,0.12985,0.14660,0.00000,0.27645,0.00000,43437
ALBUSKJELL,1980,5,0.15528,0.17561,0.00000,0.33088,0.00000,43437
ALBUSKJELL,1980,6,0.16033,0.17898,0.00000,0.33931,0.00000,43437
ALBUSKJELL,1980,7,0.06937,0.07132,0.00000,0.14070,0.00000,43437
ALBUSKJELL,1980,8,0.15104,0.17888,0.00000,0.32992,0.00000,43437
ALBUSKJELL,1980,9,0.15244,0.17982,0.00000,0.33226,0.00000,43437
ALBUSKJELL,1980,10,0.14279,0.18005,0.00000,0.32283,0.00000,43437
ALBUSKJELL,1980,11,0.13476,0.16609,0.00000,0.30084,0.00000,43437
ALBUSKJELL,1980,12,0.13742,0.17245,0.00000,0.30986,0.00000,43437
ALBUSKJELL,1981,1,0.13334,0.17033,0.00000,0.30367,0.00000,43437
ALBUSKJELL,1981,2,0.13469,0.16743,0.00000,0.30211,0.00000,43437
ALBUSKJELL,1981,3,0.16914,0.21082,0.00000,0.37995,0.00000,43437
ALBUSKJELL,1981,4,0.15325,0.19928,0.00000,0.35253,0.00000,43437
ALBUSKJELL,1981,5,0.15528,0.20470,0.00000,0.35998,0.00000,43437
ALBUSKJELL,1981,6,0.14844,0.21101,0.00000,0.35946,0.00000,43437
ALBUSKJELL,1981,7,0.15701,0.22440,0.00000,0.38141,0.00000,43437
ALBUSKJELL,1981,8,0.06112,0.08593,0.00000,0.14705,0.00000,43437
ALBUSKJELL,1981,9,0.17031,0.26330,0.00000,0.43361,0.00000,43437
ALBUSKJELL,1981,10,0.13805,0.22232,0.00000,0.36037,0.00000,43437
ALBUSKJELL,1981,11,0.14193,0.22012,0.00000,0.36205,0.00000,43437
ALBUSKJELL,1981,12,0.15620,0.25686,0.00000,0.41306,0.00000,43437
ALBUSKJELL,1982,1,0.14960,0.25584,0.00000,0.40544,0.00000,43437
ALBUSKJELL,1982,2,0.12492,0.21842,0.00000,0.34334,0.00000,43437
ALBUSKJELL,1982,3,0.13377,0.23023,0.00000,0.36400,0.00000,43437
ALBUSKJELL,1982,4,0.11761,0.19723,0.00000,0.31484,0.00000,43437
ALBUSKJELL,1982,5,0.10015,0.17630,0.00000,0.27646,0.00000,43437
ALBUSKJELL,1982,6,0.11585,0.20123,0.00000,0.31708,0.00000,43437
ALBUSKJELL,1982,7,0.10356,0.18604,0.00000,0.28960,0.00000,43437
ALBUSKJELL,1982,8,0.08544,0.15475,0.00000,0.24018,0.00000,43437
ALBUSKJELL,1982,9,0.07452,0.13994,0.00000,0.21445,0.00000,43437
ALBUSKJELL,1982,10,0.06632,0.12058,0.00000,0.18689,0.00000,43437
ALBUSKJELL,1982,11,0.07509,0.14731,0.00000,0.22240,0.00000,43437
ALBUSKJELL,1982,12,0.08273,0.15465,0.00000,0.23739,0.00000,43437
ALBUSKJELL,1983,1,0.08145,0.14945,0.00000,0.23090,0.00000,43437
ALBUSKJELL,1983,2,0.08426,0.15186,0.00000,0.23612,0.00000,43437
ALBUSKJELL,1983,3,0.09508,0.17105,0.00000,0.26613,0.00000,43437
ALBUSKJELL,1983,4,0.08821,0.15650,0.00000,0.24471,0.00000,43437
ALBUSKJELL,1983,5,0.08375,0.15659,0.00000,0.24035,0.00000,43437
ALBUSKJELL,1983,6,0.08204,0.15417,0.00000,0.23621,0.00000,43437
ALBUSKJELL,1983,7,0.08249,0.16489,0.00000,0.24738,0.00000,43437
ALBUSKJELL,1983,8,0.07272,0.14321,0.00000,0.21594,0.00000,43437
ALBUSKJELL,1983,9,0.07121,0.13827,0.00000,0.20948,0.00000,43437
ALBUSKJELL,1983,10,0.07295,0.14766,0.00000,0.22061,0.00000,43437
ALBUSKJELL,1983,11,0.07077,0.13681,0.00000,0.20758,0.00000,43437
ALBUSKJELL,1983,12,0.06989,0.13833,0.00000,0.20823,0.00000,43437
ALBUSKJELL,1984,1,0.06739,0.14044,0.00000,0.20782,0.00000,43437
ALBUSKJELL,1984,2,0.06255,0.12259,0.00000,0.18514,0.00000,43437
ALBUSKJELL,1984,3,0.06491,0.12753,0.00000,0.19244,0.00000,43437
ALBUSKJELL,1984,4,0.06194,0.11782,0.00000,0.17976,0.00000,43437
ALBUSKJELL,1984,5,0.06148,0.11565,0.00000,0.17713,0.00000,43437
ALBUSKJELL,1984,6,0.05140,0.09719,0.00000,0.14859,0.00000,43437
ALBUSKJELL,1984,7,0.05038,0.09765,0.00000,0.14803,0.00000,43437
ALBUSKJELL,1984,8,0.03888,0.07720,0.00000,0.11608,0.00000,43437
ALBUSKJELL,1984,9,0.04723,0.10614,0.00000,0.15336,0.00000,43437
ALBUSKJELL,1984,10,0.04750,0.10304,0.00000,0.15054,0.00000,43437
ALBUSKJELL,1984,11,0.04467,0.09638,0.00000,0.14105,0.00000,43437
ALBUSKJELL,1984,12,0.04659,0.09673,0.00000,0.14332,0.00000,43437
ALBUSKJELL,1985,1,0.04747,0.10602,0.00000,0.15349,0.00000,43437
ALBUSKJELL,1985,2,0.04403,0.09065,0.00000,0.13469,0.00000,43437
ALBUSKJELL,1985,3,0.04881,0.09798,0.00000,0.14678,0.00000,43437
ALBUSKJELL,1985,4,0.04487,0.09651,0.00000,0.14139,0.00000,43437
ALBUSKJELL,1985,5,0.04524,0.09713,0.00000,0.14237,0.00000,43437
ALBUSKJELL,1985,6,0.03935,0.08554,0.00000,0.12489,0.00000,43437
ALBUSKJELL,1985,7,0.04251,0.09495,0.00000,0.13746,0.00000,43437
ALBUSKJELL,1985,8,0.04230,0.09180,0.00000,0.13410,0.00000,43437
ALBUSKJELL,1985,9,0.04055,0.08693,0.00000,0.12748,0.00000,43437
ALBUSKJELL,1985,10,0.04200,0.09797,0.00000,0.13997,0.00000,43437
ALBUSKJELL,1985,11,0.04086,0.09304,0.00000,0.13390,0.00000,43437
ALBUSKJELL,1985,12,0.03972,0.09339,0.00000,0.13311,0.00000,43437
ALBUSKJELL,1986,1,0.03948,0.08984,0.00000,0.12932,0.00000,43437
ALBUSKJELL,1986,2,0.03547,0.07888,0.00000,0.11435,0.00000,43437
ALBUSKJELL,1986,3,0.03686,0.08823,0.00000,0.12509,0.00000,43437
ALBUSKJELL,1986,4,0.01509,0.02920,0.00000,0.04429,0.00000,43437
ALBUSKJELL,1986,5,0.03937,0.09286,0.00000,0.13222,0.00000,43437
ALBUSKJELL,1986,6,0.03532,0.08840,0.00000,0.12372,0.00000,43437
ALBUSKJELL,1986,7,0.04354,0.11468,0.00000,0.15822,0.00000,43437
ALBUSKJELL,1986,8,0.04010,0.10434,0.00000,0.14443,0.00000,43437
ALBUSKJELL,1986,9,0.03743,0.09572,0.00000,0.13314,0.00000,43437
ALBUSKJELL,1986,10,0.03382,0.09712,0.00000,0.13094,0.00000,43437
ALBUSKJELL,1986,11,0.03481,0.08839,0.00000,0.12320,0.00000,43437
ALBUSKJELL,1986,12,0.03379,0.08813,0.00000,0.12192,0.00000,43437
ALBUSKJELL,1987,1,0.03405,0.08996,0.00000,0.12400,0.00000,43437
ALBUSKJELL,1987,2,0.03012,0.07750,0.00000,0.10763,0.00000,43437
ALBUSKJELL,1987,3,0.03160,0.08393,0.00000,0.11553,0.00000,43437
ALBUSKJELL,1987,4,0.02950,0.07658,0.00000,0.10608,0.00000,43437
ALBUSKJELL,1987,5,0.03044,0.08193,0.00000,0.11237,0.00000,43437
ALBUSKJELL,1987,6,0.02965,0.07831,0.00000,0.10797,0.00000,43437
ALBUSKJELL,1987,7,0.02856,0.07642,0.00000,0.10498,0.00000,43437
ALBUSKJELL,1987,8,0.00794,0.02178,0.00000,0.02971,0.00000,43437
ALBUSKJELL,1987,9,0.02710,0.06666,0.00000,0.09376,0.00000,43437
ALBUSKJELL,1987,10,0.02907,0.07415,0.00000,0.10323,0.00000,43437
ALBUSKJELL,1987,11,0.02630,0.06612,0.00000,0.09241,0.00000,43437
ALBUSKJELL,1987,12,0.02737,0.07463,0.00000,0.10201,0.00000,43437
ALBUSKJELL,1988,1,0.02600,0.06989,0.00000,0.09589,0.00000,43437
ALBUSKJELL,1988,2,0.02402,0.06488,0.00000,0.08890,0.00000,43437
ALBUSKJELL,1988,3,0.02649,0.06396,0.00000,0.09045,0.00000,43437
ALBUSKJELL,1988,4,0.02468,0.06260,0.00000,0.08727,0.00000,43437
ALBUSKJELL,1988,5,0.02461,0.06408,0.00000,0.08869,0.00000,43437
ALBUSKJELL,1988,6,0.02318,0.06108,0.00000,0.08425,0.00000,43437
ALBUSKJELL,1988,7,0.02346,0.05681,0.00000,0.08026,0.00000,43437
ALBUSKJELL,1988,8,0.02467,0.06037,0.00000,0.08504,0.00000,43437
ALBUSKJELL,1988,9,0.02322,0.05521,0.00000,0.07842,0.00000,43437
ALBUSKJELL,1988,10,0.02042,0.04721,0.00000,0.06763,0.00000,43437
ALBUSKJELL,1988,11,0.01649,0.03948,0.00000,0.05597,0.00000,43437
ALBUSKJELL,1988,12,0.01621,0.04040,0.00000,0.05661,0.00000,43437
ALBUSKJELL,1989,1,0.01506,0.04006,0.00000,0.05512,0.00000,43437
ALBUSKJELL,1989,2,0.01330,0.03353,0.00000,0.04683,0.00000,43437
ALBUSKJELL,1989,3,0.01362,0.03598,0.00000,0.04960,0.00000,43437
ALBUSKJELL,1989,4,0.01753,0.03917,0.00000,0.05670,0.00000,43437
ALBUSKJELL,1989,5,0.02096,0.04908,0.00000,0.07005,0.00000,43437
ALBUSKJELL,1989,6,0.01996,0.04594,0.00000,0.06590,0.00000,43437
ALBUSKJELL,1989,7,0.01956,0.04675,0.00000,0.06631,0.00000,43437
ALBUSKJELL,1989,8,0.01950,0.04657,0.00000,0.06607,0.00000,43437
ALBUSKJELL,1989,9,0.01827,0.04499,0.00000,0.06326,0.00000,43437
ALBUSKJELL,1989,10,0.01847,0.04579,0.00000,0.06426,0.00000,43437
ALBUSKJELL,1989,11,0.01749,0.04229,0.00000,0.05978,0.00000,43437
ALBUSKJELL,1989,12,0.01782,0.04484,0.00000,0.06266,0.00000,43437
ALBUSKJELL,1990,1,0.01785,0.04365,0.00000,0.06150,0.00000,43437
ALBUSKJELL,1990,2,0.01524,0.03906,0.00000,0.05430,0.00000,43437
ALBUSKJELL,1990,3,0.01550,0.03641,0.00000,0.05191,0.00000,43437
ALBUSKJELL,1990,4,0.01589,0.03901,0.00000,0.05490,0.00000,43437
ALBUSKJELL,1990,5,0.01227,0.03044,0.00000,0.04272,0.00000,43437
ALBUSKJELL,1990,6,0.01040,0.02431,0.00000,0.03471,0.00000,43437
ALBUSKJELL,1990,7,0.01124,0.02666,0.00000,0.03791,0.00000,43437
ALBUSKJELL,1990,8,0.01239,0.02799,0.00000,0.04037,0.00000,43437
ALBUSKJELL,1990,9,0.01113,0.02573,0.00000,0.03686,0.00000,43437
ALBUSKJELL,1990,10,0.01182,0.03035,0.00000,0.04217,0.00000,43437
ALBUSKJELL,1990,11,0.01182,0.03012,0.00000,0.04193,0.00000,43437
ALBUSKJELL,1990,12,0.01231,0.03087,0.00000,0.04318,0.00000,43437
ALBUSKJELL,1991,1,0.01206,0.03006,0.00000,0.04213,0.00000,43437
ALBUSKJELL,1991,2,0.01057,0.02655,0.00000,0.03711,0.00000,43437
ALBUSKJELL,1991,3,0.01161,0.02949,0.00000,0.04110,0.00000,43437
ALBUSKJELL,1991,4,0.01097,0.02832,0.00000,0.03929,0.00000,43437
ALBUSKJELL,1991,5,0.01138,0.02773,0.00000,0.03911,0.00000,43437
ALBUSKJELL,1991,6,0.01148,0.02687,0.00000,0.03835,0.00000,43437
ALBUSKJELL,1991,7,0.01061,0.02595,0.00000,0.03656,0.00000,43437
ALBUSKJELL,1991,8,0.00445,0.00579,0.00000,0.01024,0.00000,43437
ALBUSKJELL,1991,9,0.01168,0.02948,0.00000,0.04116,0.00000,43437
ALBUSKJELL,1991,10,0.01195,0.02841,0.00000,0.04036,0.00000,43437
ALBUSKJELL,1991,11,0.01021,0.02514,0.00000,0.03535,0.00000,43437
ALBUSKJELL,1991,12,0.01108,0.02551,0.00000,0.03659,0.00000,43437
ALBUSKJELL,1992,1,0.01073,0.02632,0.00000,0.03705,0.00000,43437
ALBUSKJELL,1992,2,0.00939,0.02469,0.00000,0.03407,0.00000,43437
ALBUSKJELL,1992,3,0.00828,0.02029,0.00000,0.02858,0.00000,43437
ALBUSKJELL,1992,4,0.01151,0.02768,0.00000,0.03920,0.00000,43437
ALBUSKJELL,1992,5,0.00787,0.02258,0.00000,0.03044,0.00000,43437
ALBUSKJELL,1992,6,0.01013,0.02296,0.00000,0.03309,0.00000,43437
ALBUSKJELL,1992,7,0.01049,0.02574,0.00000,0.03623,0.00000,43437
ALBUSKJELL,1992,8,0.01059,0.02486,0.00000,0.03544,0.00000,43437
ALBUSKJELL,1992,9,0.00978,0.02400,0.00000,0.03378,0.00000,43437
ALBUSKJELL,1992,10,0.00947,0.02534,0.00000,0.03481,0.00000,43437
ALBUSKJELL,1992,11,0.00935,0.02346,0.00000,0.03281,0.00000,43437
ALBUSKJELL,1992,12,0.01309,0.03444,0.00000,0.04752,0.00000,43437
ALBUSKJELL,1993,1,0.01216,0.03234,0.00000,0.04450,0.00000,43437
ALBUSKJELL,1993,2,0.01111,0.02789,0.00000,0.03900,0.00000,43437
ALBUSKJELL,1993,3,0.01162,0.02890,0.00000,0.04053,0.00000,43437
ALBUSKJELL,1993,4,0.01207,0.03074,0.00000,0.04282,0.00000,43437
ALBUSKJELL,1993,5,0.01200,0.02992,0.00000,0.04192,0.00000,43437
ALBUSKJELL,1993,6,0.01157,0.02888,0.00000,0.04045,0.00000,43437
ALBUSKJELL,1993,7,0.01183,0.02960,0.00000,0.04143,0.00000,43437
ALBUSKJELL,1993,8,0.01193,0.02953,0.00000,0.04145,0.00000,43437
ALBUSKJELL,1993,9,0.01142,0.02681,0.00000,0.03823,0.00000,43437
ALBUSKJELL,1993,10,0.01108,0.02834,0.00000,0.03942,0.00000,43437
ALBUSKJELL,1993,11,0.01088,0.02711,0.00000,0.03799,0.00000,43437
ALBUSKJELL,1993,12,0.01115,0.02763,0.00000,0.03878,0.00000,43437
ALBUSKJELL,1994,1,0.01093,0.02706,0.00000,0.03800,0.00000,43437
ALBUSKJELL,1994,2,0.01005,0.02463,0.00000,0.03468,0.00000,43437
ALBUSKJELL,1994,3,0.01060,0.02663,0.00000,0.03723,0.00000,43437
ALBUSKJELL,1994,4,0.01031,0.02549,0.00000,0.03580,0.00000,43437
ALBUSKJELL,1994,5,0.01032,0.02651,0.00000,0.03683,0.00000,43437
ALBUSKJELL,1994,6,0.00979,0.02371,0.00000,0.03350,0.00000,43437
ALBUSKJELL,1994,7,0.00965,0.02414,0.00000,0.03379,0.00000,43437
ALBUSKJELL,1994,8,0.00756,0.01786,0.00000,0.02542,0.00000,43437
ALBUSKJELL,1994,9,0.00946,0.02542,0.00000,0.03488,0.00000,43437
ALBUSKJELL,1994,10,0.00945,0.02603,0.00000,0.03548,0.00000,43437
ALBUSKJELL,1994,11,0.01018,0.02372,0.00000,0.03390,0.00000,43437
ALBUSKJELL,1994,12,0.00956,0.02457,0.00000,0.03413,0.00000,43437
ALBUSKJELL,1995,1,0.00952,0.02299,0.00000,0.03251,0.00000,43437
ALBUSKJELL,1995,2,0.00873,0.02147,0.00000,0.03020,0.00000,43437
ALBUSKJELL,1995,3,0.00941,0.02343,0.00000,0.03284,0.00000,43437
ALBUSKJELL,1995,4,0.00905,0.02230,0.00000,0.03135,0.00000,43437
ALBUSKJELL,1995,5,0.00920,0.02217,0.00000,0.03137,0.00000,43437
ALBUSKJELL,1995,6,0.00840,0.01964,0.00000,0.02804,0.00000,43437
ALBUSKJELL,1995,7,0.00861,0.02081,0.00000,0.02941,0.00000,43437
ALBUSKJELL,1995,8,0.00951,0.02365,0.00000,0.03316,0.00000,43437
ALBUSKJELL,1995,9,0.00869,0.02186,0.00000,0.03055,0.00000,43437
ALBUSKJELL,1995,10,0.00867,0.02254,0.00000,0.03120,0.00000,43437
ALBUSKJELL,1995,11,0.00839,0.02173,0.00000,0.03012,0.00000,43437
ALBUSKJELL,1995,12,0.00793,0.02215,0.00000,0.03008,0.00000,43437
ALBUSKJELL,1996,1,0.00754,0.02104,0.00000,0.02858,0.00000,43437
ALBUSKJELL,1996,2,0.00666,0.01878,0.00000,0.02544,0.00000,43437
ALBUSKJELL,1996,3,0.00713,0.02158,0.00000,0.02871,0.00000,43437
ALBUSKJELL,1996,4,0.00693,0.02134,0.00000,0.02827,0.00000,43437
ALBUSKJELL,1996,5,0.00672,0.02191,0.00000,0.02863,0.00000,43437
ALBUSKJELL,1996,6,0.00593,0.01877,0.00000,0.02470,0.00000,43437
ALBUSKJELL,1996,7,0.00737,0.02017,0.00000,0.02755,0.00000,43437
ALBUSKJELL,1996,8,0.00733,0.02066,0.00000,0.02798,0.00000,43437
ALBUSKJELL,1996,9,0.00747,0.01967,0.00000,0.02714,0.00000,43437
ALBUSKJELL,1996,10,0.00708,0.01931,0.00000,0.02639,0.00000,43437
ALBUSKJELL,1996,11,0.00643,0.01693,0.00000,0.02336,0.00000,43437
ALBUSKJELL,1996,12,0.00632,0.01814,0.00000,0.02446,0.00000,43437
ALBUSKJELL,1997,1,0.00529,0.01329,0.00000,0.01858,0.00000,43437
ALBUSKJELL,1997,2,0.00606,0.01513,0.00000,0.02119,0.00000,43437
ALBUSKJELL,1997,3,0.00692,0.01906,0.00000,0.02598,0.00000,43437
ALBUSKJELL,1997,4,0.00619,0.01744,0.00000,0.02364,0.00000,43437
ALBUSKJELL,1997,5,0.00576,0.01764,0.00000,0.02340,0.00000,43437
ALBUSKJELL,1997,6,0.00541,0.01777,0.00000,0.02318,0.00000,43437
ALBUSKJELL,1997,7,0.00569,0.01717,0.00000,0.02286,0.00000,43437
ALBUSKJELL,1997,8,0.00710,0.02086,0.00000,0.02796,0.00000,43437
ALBUSKJELL,1997,9,0.00753,0.01863,0.00000,0.02616,0.00000,43437
ALBUSKJELL,1997,10,0.00620,0.01983,0.00000,0.02603,0.00000,43437
ALBUSKJELL,1997,11,0.00602,0.01814,0.00000,0.02416,0.00000,43437
ALBUSKJELL,1997,12,0.00682,0.01866,0.00000,0.02549,0.00000,43437
ALBUSKJELL,1998,1,0.00659,0.01847,0.00000,0.02506,0.00000,43437
ALBUSKJELL,1998,2,0.00610,0.01609,0.00000,0.02218,0.00000,43437
ALBUSKJELL,1998,3,0.00681,0.01740,0.00000,0.02421,0.00000,43437
ALBUSKJELL,1998,4,0.00658,0.01580,0.00000,0.02237,0.00000,43437
ALBUSKJELL,1998,5,0.00665,0.01621,0.00000,0.02287,0.00000,43437
ALBUSKJELL,1998,6,0.00660,0.01587,0.00000,0.02247,0.00000,43437
ALBUSKJELL,1998,7,0.00648,0.01706,0.00000,0.02355,0.00000,43437
ALVE,2009,1,0.00000,0.00000,0.00000,0.00000,0.00000,4444332
ALVE,2009,2,0.00000,0.00000,0.00000,0.00000,0.00000,4444332
ALVE,2009,3,0.01051,0.04283,0.00000,0.05334,0.00018,4444332
ALVE,2009,4,0.02998,0.12209,0.00000,0.15207,0.00058,4444332
ALVE,2009,5,0.03052,0.12430,0.00000,0.15481,0.00046,4444332
ALVE,2009,6,0.03064,0.12481,0.00000,0.15545,0.00092,4444332
ALVE,2009,7,0.02959,0.12051,0.00000,0.15009,0.00017,4444332
ALVE,2009,8,0.02879,0.11726,0.00000,0.14605,0.00009,4444332
ALVE,2009,9,0.02342,0.09539,0.00000,0.11882,0.00003,4444332
ALVE,2009,10,0.02395,0.09755,0.00000,0.12149,0.00006,4444332
ALVE,2009,11,0.02687,0.10943,0.00000,0.13629,0.00000,4444332
ALVE,2009,12,0.02449,0.09973,0.00000,0.12421,0.00001,4444332
ALVE,2010,1,0.02468,0.09846,0.00000,0.12315,0.00002,4444332
ALVE,2010,2,0.02316,0.09238,0.00000,0.11553,0.00001,4444332
ALVE,2010,3,0.02427,0.09683,0.00000,0.12111,0.00000,4444332
ALVE,2010,4,0.01726,0.06885,0.00000,0.08610,0.00001,4444332
ALVE,2010,5,0.02407,0.09603,0.00000,0.12010,0.00000,4444332
ALVE,2010,6,0.02229,0.08892,0.00000,0.11121,0.00000,4444332
ALVE,2010,7,0.02113,0.08429,0.00000,0.10542,0.00001,4444332
ALVE,2010,8,0.01297,0.05176,0.00000,0.06473,0.00000,4444332
ALVE,2010,9,0.01355,0.05406,0.00000,0.06762,0.00002,4444332
ALVE,2010,10,0.02280,0.08918,0.00000,0.11198,0.00000,4444332
ALVE,2010,11,0.01898,0.08245,0.00000,0.10142,0.00001,4444332
ALVE,2010,12,0.01857,0.08068,0.00000,0.09925,0.00002,4444332
ALVE,2011,1,0.01749,0.07598,0.00000,0.09346,0.00003,4444332
ALVE,2011,2,0.01320,0.05733,0.00000,0.07053,0.00081,4444332
ALVE,2011,3,0.01401,0.06086,0.00000,0.07486,0.00082,4444332
ALVE,2011,4,0.02033,0.06152,0.00000,0.08185,0.00017,4444332
ALVE,2011,5,0.04453,0.08794,0.00000,0.13247,0.00000,4444332
ALVE,2011,6,0.03716,0.08609,0.00000,0.12326,0.00000,4444332
ALVE,2011,7,0.03225,0.07545,0.00000,0.10769,0.00000,4444332
ALVE,2011,8,0.03313,0.08872,0.00000,0.12185,0.00000,4444332
ALVE,2011,9,0.01943,0.05162,0.00000,0.07106,0.00000,4444332
ALVE,2011,10,0.02953,0.08161,0.00000,0.11114,0.00000,4444332
ALVE,2011,11,0.02977,0.08229,0.00000,0.11206,0.00000,4444332
ALVE,2011,12,0.02765,0.07642,0.00000,0.10407,0.00000,4444332
ALVE,2012,1,0.02691,0.07439,0.00000,0.10130,0.00000,4444332
